number,id,title,motion,cohort,theist_side,topic,narrow,reason,gap
1,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,"Does God exist, and do cosmology, fine-tuning, morality, resurrection, and suffering support or undermine Christian theism?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,6
2,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,"Does God exist, and do cosmology, fine-tuning, morality, resurrection, suffering, and religion's record make Christian theism more plausible than atheism?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,4
3,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,"Is religion the problem, or does the God hypothesis better explain life, morality, purpose, and human experience than secular doubt?",earlier,con,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,8
4,lennox-atkins-science-explain-everything-2019,John Lennox vs Peter Atkins: Can Science Explain Everything?,"Can science explain everything worth explaining, or do rationality, miracles, purpose, origins, morality, and meaning require a different kind of explanation?",earlier,,,False,"religion-adjacent, but no explicit theist-vs-non-theist side comparison",
5,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,"Is belief in God reasonable, and can truth, logic, knowledge, induction, and evidence be accounted for without Christian revelation?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,24
6,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,"Should beliefs about God, gender, politics, and social welfare be guided by faith-informed inference, empirical evidence, or secular-humanist consequences?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,10
7,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,"Did Jesus personally claim divine identity, or do the relevant texts better show delegated authority, divine name-bearing, and later high christology?",earlier,pro,"Scripture, revelation & doctrine",False,one published theistic/religious side and one published non-theistic/skeptical side,7
8,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,"Does science, morality, evil, and explanatory method support theism more strongly than skeptical naturalism?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,7
9,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,"Does God-language name a real supernatural being, or does it function mainly as a religious, moral, and psychological substrate for meaning?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,16
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,Are the foundations of moral values and duties natural or supernatural?,earlier,pro,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,0
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil","Can belief in a loving, powerful God survive the scale of suffering and evil in the world?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,8
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,"Does evidence for God exist, or are logic, mathematics, and intelligibility better explained without Christian theism?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,-6
