number,debate_id,title,label,motion,cohort,pro_speaker,con_speaker,pro_score,con_score,con_minus_pro,higher_side,in_169_theist_non_theist_set,theist_side
139,adelstein-dillahunty-belief-god-2025,Matthew Adelstein vs Matt Dillahunty: Should We Believe in God?,"Theism, fine-tuning, and anthropic evidence","Should we believe in an all-knowing, all-powerful, morally perfect being?",closed,Matthew Adelstein,Matt Dillahunty,81.0,89.0,8.0,con,True,pro
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,Gospel reliability and contradictions,"Are the canonical Gospels historically reliable despite alleged contradictions in the birth narratives, resurrection accounts, and Jesus' self-presentation?",closed,Jimmy Akin,Bart Ehrman,81.0,88.0,7.0,con,True,pro
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,Resurrection and ancient Christianity,"Do Paul's letters, Gospel transmission, hostile witnesses, and early church structures make the bodily resurrection and Catholic continuity historically credible?",closed,William Albrecht,Graham Oppy,76.0,83.0,7.0,con,True,pro
138,albrecht-price-bodily-resurrection-2022,William Albrecht vs Robert Price: Did Jesus Bodily Rise from the Dead?,"Bodily resurrection, ancient parallels, and testimony","Did Jesus Christ bodily rise from the dead, as early Christian sources claim?",closed,William Albrecht,Robert Price,78.0,80.0,2.0,con,True,pro
180,ally-licona-did-jesus-rise-dead-2004,Shabir Ally vs Michael Licona: Did Jesus Rise from the Dead?,The bodily resurrection of Jesus,Does the historical evidence establish that Jesus physically rose from the dead?,closed,Michael Licona,Shabir Ally,83.0,85.0,2.0,con,False,
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,"Science, God, and human futures","Do science, evolution, and future technology make God unnecessary, or do value, personhood, origins, and hope point beyond scientific materialism?",closed,Peter Atkins,Keith Fox,70.0,85.0,15.0,con,True,con
148,baggett-dillahunty-moral-argument-2018,David Baggett vs Matt Dillahunty: The Moral Argument for God,"Moral authority, God, and secular ethics","Do objective moral facts, moral knowledge, moral transformation, and moral rationality make theism a better explanation than secular ethical theories?",closed,David Baggett,Matt Dillahunty,85.0,86.0,1.0,con,True,pro
211,baggini-baker-hytch-divine-hiddenness-2025,Divine Hiddenness and Evidential Ambiguity: Julian Baggini vs. Max Baker-Hytch (2025),"Divine hiddenness, evidential ambiguity, and belief",Does divine hiddenness provide good evidence against God's existence?,standalone,Julian Baggini,Max Baker-Hytch,80.0,82.0,2.0,con,True,con
117,bertuzzi-oconnor-contingency-argument-2018,Alex O'Connor vs Cameron Bertuzzi: Something From Nothing?,Contingency and nothingness,"Does the contingency argument show that contingent reality requires a necessary foundation identifiable as God, or can determinism, composition worries, and a necessary-universe option block the inference?",closed,Cameron Bertuzzi,Alex O'Connor,81.0,87.0,6.0,con,True,pro
116,bertuzzi-schieber-evil-evidence-2019,Cameron Bertuzzi vs Justin Schieber: The Problem of Evil,Evil as evidence,"Do facts about pain, pleasure, languishing, and horrendous evil count as evidence for naturalism over theism, or can soul-building and skeptical theism neutralize that evidential force?",closed,Cameron Bertuzzi,Justin Schieber,78.0,87.0,9.0,con,True,pro
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,Religious experience and rationality,"Can Bignon's conversion story, religious experience, and supporting arguments rationally support Christian belief, or do rival experiences and naturalist explanations undercut their evidential force?",closed,Guillaume Bignon,Graham Oppy,82.0,87.0,5.0,con,True,pro
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,"God, science, and cosmic evidence","Do cosmology, fine-tuning, origin-of-life research, biblical claims, and suffering make the Christian God more or less plausible?",closed,Michel-Yves Bolloré,Phil Halper,69.0,88.0,19.0,con,True,pro
131,boyce-carrier-historical-jesus-mythicism-2022,Stephen Boyce vs Richard Carrier: Did Jesus Exist?,Historical Jesus and mythicism,"Did Jesus exist as a historical person, or did early Christian belief begin with a celestial or mythic Christ later placed in history?",closed,Stephen Boyce,Richard Carrier,78.0,83.0,5.0,con,False,
82,bush-mcallister-moral-anti-realism-realism-2025,Lance Bush vs Derek McAllister: Moral Anti-Realism vs Realism,Metaethical anti-realism and realism,"Does moral realism have a common-sense, historical, or semantic advantage over moral anti-realism?",closed,Lance Bush,Derek McAllister,90.0,76.0,-14.0,pro,False,
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,Biblical theism and skeptical evidence,"Does the God of the Bible exist, and do causation, design, morality, Jesus, religious diversity, suffering, and evidential standards support or undermine that claim?",closed,Kyle Butt,Michael Shermer,71.0,86.0,15.0,con,True,pro
