number,debate_id,title,topic,classification_rationale,theist_side,theist_speaker,non_theist_speaker,theist_score,non_theist_score,margin,generation
1,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,William Lane Craig,Alex O'Connor,76,82,6.0,earlier
2,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,William Lane Craig,Christopher Hitchens,78,82,4.0,earlier
3,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",con,Dinesh D'Souza,Christopher Hitchens,75,83,8.0,earlier
5,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Sye Ten Bruggencate,Matt Dillahunty,64,88,24.0,earlier
6,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Dinesh D'Souza,Matt Dillahunty,77,87,10.0,earlier
7,wood-oconnor-jesus-claim-god-2025,David Wood vs Alex O'Connor: Did Jesus Claim to Be God?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,David Wood,Alex O'Connor,83,90,7.0,earlier
8,wood-shermer-god-exist-2022,David Wood vs Michael Shermer: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,David Wood,Michael Shermer,73,80,7.0,earlier
9,peterson-dillahunty-god-debate-2023,Jordan Peterson vs Matt Dillahunty: The Greatest God Debate In History,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Jordan Peterson,Matt Dillahunty,73,89,16.0,earlier
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,William Lane Craig,Sam Harris,79,79,0.0,earlier
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil","Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Dinesh D'Souza,Bart Ehrman,79,87,8.0,earlier
12,settecase-jump-evidence-for-god-2025,Joel Settecase vs Tom Jump: Is There Evidence for God?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Joel Settecase,Tom Jump,84,78,-6.0,earlier
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality",Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Cliffe Knechtle,Alex O'Connor,76,87,11.0,earlier
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Michael Jones,Richard Carrier,74,73,-1.0,earlier
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,John Lennox,Christopher Hitchens,77,81,4.0,earlier
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Ayaan Hirsi Ali,Richard Dawkins,74,84,10.0,earlier
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Francis Collins,Alex O'Connor,79,88,9.0,earlier
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority",Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",con,Peter Hitchens,Christopher Hitchens,77,79,2.0,earlier
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",con,Rabbi David Wolpe,Christopher Hitchens,76,85,9.0,earlier
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Frank Turek,Christopher Hitchens,74,81,7.0,earlier
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality",Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",con,Marvin Olasky,Christopher Hitchens,82,80,-2.0,earlier
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",con,Tariq Ramadan,Christopher Hitchens,82,80,-2.0,earlier
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Frank Turek,Christopher Hitchens,74,83,9.0,earlier
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Frank Turek,Alex O'Connor,76,87,11.0,earlier
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Frank Turek,Michael Shermer,72,83,11.0,earlier
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Frank Turek,David Silverman,77,78,1.0,earlier
